name,address,tags,website,phone,infos_url,latitude,longitude
100% Le Bar à Jus,"2 rue Saint Jean
68000 Colmar",gluten-free,,06 47 24 47 44,http://vegoresto.fr/resto/100-le-bar-a-jus,48.0741097,7.3569445
2 sous de table,"56 rue de Gand
59000 Lille",,http://www.2sousdetable.com,03 62 57 11 25,http://vegoresto.fr/resto/2-sous-de-table,50.6425671,3.0667459
3 Bio,"44 rue de Provence
75009 Paris","vegetarian, gluten-free",,01 42 06 05 99,http://vegoresto.fr/resto/3-bio,48.8744083,2.3360582
42 degrés,"109, rue du faubourg Poissonnière
75009 Paris",vegan,42degres.com/,09 73 65 77 88,http://vegoresto.fr/resto/42-degres,48.8776168,2.3489116
A Braijade Meridiounale,"66 rue longue
06500 Menton","vegetarian, vegan, gluten-free",www.abraijade.fr/,04 93 35 65 65,http://vegoresto.fr/resto/a-braijade-meridiounale,43.7784981,7.5068617
Ah la belle histoire,"3 bis rue du Général Morvan
29900 Concarneau",vegan,,02 98 97 56 43,http://vegoresto.fr/resto/ah-la-belle-histoire,47.8733116,-3.9185307
Al Saj,"5 rue Motte Fablet
35000 Rennes",vegetarian,,02 99 79 08 36,http://vegoresto.fr/resto/al-saj,48.1140527,-1.67949
Ammendola,83400 Hyeres,vegan,,06 63 96 93 53,http://vegoresto.fr/resto/ammendola,43.107465,6.1314928
Arbol,"4, rue de la Merci
33000 Bordeaux",,www.arbol-restaurant.com/,06 33 51 85 52,http://vegoresto.fr/resto/arbol,44.8388748,-0.5734064
Arts Thés Miss,"19 rue des Révennes
06600 Vieil-Antibes","vegetarian, vegan, gluten-free",www.artsthesmiss.sitew.com/#Accueil.A,06 63 42 85 24,http://vegoresto.fr/resto/arts-thes-miss,43.580418,7.125102
Au bon marché,"12 place du Châtelet
45000 Orléans","vegetarian, vegan",www.aubonmarche-orleans.com/,02 38 53 04 35,http://vegoresto.fr/resto/au-bon-marche,47.8991595,1.9066651
Au Potiron,"24 rue Sainte-Madeleine
67000 Strasbourg","vegetarian, vegan",,03 88 35 49 86,http://vegoresto.fr/resto/au-potiron,48.5789394,7.7548005
Auberge du Vernolon,"Le Vernolon
42220 Colombier",,www.aubergeduvernolon.fr/,04 77 51 50 07,http://vegoresto.fr/resto/auberge-du-vernolon,45.360295,4.594166
Aux Mignardises Saint-Jean,"20 rue saint jean 
62520 Le Touquet","vegetarian, vegan, gluten-free",,03 21 05 36 21,http://vegoresto.fr/resto/aux-mignardises-saint-jean,50.5242281,1.5835963
Basilic Instant,"93 rue des Granges
25000 Besançon","vegetarian, vegan, gluten-free",basilic-instant.e-monsite.com/,03 81 83 17 78,http://vegoresto.fr/resto/basilic-instant,47.2369769,6.0286188
BATbat (Colomiers),"Allée Olympe de Gouges
31770 Colomiers","vegetarian, vegan",www.batbat.fr/,05 61 42 24 22,http://vegoresto.fr/resto/batbat-colomiers,43.5948781,1.3533343
BATbat (Toulouse),"8 rue des Filatiers
31000 Toulouse","vegetarian, vegan",www.batbat.fr/,05 61 25 49 49,http://vegoresto.fr/resto/batbat-toulouse,43.5981845,1.4442782
Bêtises et Volup’thé,"79 rue des Granges
25000 Besançon","vegetarian, vegan, gluten-free",,03 81 50 83 45,http://vegoresto.fr/resto/betises-volupthe,47.2371425,6.0275741
Biofresh,"36 rue de l&#039;Arsenal
68100  Mulhouse","vegan, gluten-free",,03 69 07 36 31,http://vegoresto.fr/resto/biofresh,47.7468644,7.333629
Bis2Fly,"19 rue Nicolas Leblanc
59000 Lille",gluten-free,http://www.bis2fly.com/,09 72 45 09 95,http://vegoresto.fr/resto/bis2fly,50.6296016,3.0617998
Bistrot et Chocolat,"8 rue de la Râpe
67000 Strasbourg","vegetarian, vegan, gluten-free",www.bistrotetchocolat.net/,03 88 36 39 60,http://vegoresto.fr/resto/bistrot-et-chocolat,48.5815328,7.7529616
BOQ,"5, Place de Bretagne
35000 Rennes",gluten-free,http://www.boq-restaurant.fr/,02 99 54 95 91,http://vegoresto.fr/resto/boq,48.1094967,-1.683626
Brasserie Lola,"99 rue du Théâtre
75015 Paris","vegan, gluten-free",,01 45 78 22 35,http://vegoresto.fr/resto/brasserie-lola,48.8468432,2.2937027
Byblos,"24 rue du onze novembre
42100 Saint-Étienne",,,09 54 89 42 12,http://vegoresto.fr/resto/byblos,45.428271,4.3902047
C. Com Café (Brest),"26 rue de Siam
29200 Brest",,http://ccomcafe.com/,02 98 85 14 46,http://vegoresto.fr/resto/c-com-cafe-brest,48.3860054,-4.4920536
C. Com Café (Quimper),"9 quai Port au Vin 
29000 Quimper",,http://ccomcafe.com/,02 98 95 81 62,http://vegoresto.fr/resto/c-com-cafe-quimper,47.9950227,-4.1057103
Café Ginger,"9 rue Jacques Cœur
75004 Paris","vegan, gluten-free",www.cafe-ginger.fr,06 75 05 63 70,http://vegoresto.fr/resto/cafe-ginger,48.8528822,2.3673278
Caravanserail Café,"10 rue du 4 août 1789
69100 Villeurbanne","vegetarian, vegan, gluten-free",www.caravanserail-cafe.com/,09 52 46 45 38,http://vegoresto.fr/resto/caravanserail-cafe,45.7637861,4.8750136
Carmen Ragosta Mode et Cuisine,"8 rue de la Grange aux Belles
75010 Paris","vegan, gluten-free",http://www.carmenragosta.com/,01 42 49 00 71,http://vegoresto.fr/resto/carmen-ragosta-mode-et-cuisine,48.8733032,2.3647123
Carottes et gingembre,"36 Rue des Bancs
17400 Saint Jean d&#039;Angély","vegetarian, vegan, gluten-free",www.carottesgingembre.fr,05 46 33 90 57,http://vegoresto.fr/resto/carottes-et-gingembre,45.9428891,-0.5217721
