website,tags,phone,address,name,latitude,longitude,infos_url
,gluten-free,06 47 24 47 44,"2 rue Saint Jean<br />
68000 Colmar",100% Le Bar à Jus,48.0741097,7.35694450000005,http://vegoresto.fr/resto/100-le-bar-a-jus
http://www.2sousdetable.com,,03 62 57 11 25,"56 rue de Gand<br />
59000 Lille",2 sous de table,50.6425671,3.0667459,http://vegoresto.fr/resto/2-sous-de-table
,"vegetarian, gluten-free",01 42 06 05 99,"44 rue de Provence<br />
75009 Paris",3 Bio,48.8744083,2.33605820000002,http://vegoresto.fr/resto/3-bio
42degres.com/,vegan,09 73 65 77 88,"109, rue du faubourg Poissonnière<br />
75009 Paris",42 degrés,48.8776168,2.34891160000006,http://vegoresto.fr/resto/42-degres
www.abraijade.fr/,"vegetarian, vegan, gluten-free",04 93 35 65 65,"66 rue longue<br />
06500 Menton",A Braijade Meridiounale,43.7784981,7.50686169999994,http://vegoresto.fr/resto/a-braijade-meridiounale
,vegan,02 98 97 56 43,"3 bis rue du Général Morvan<br />
29900 Concarneau",Ah la belle histoire,47.8733116,-3.91853070000002,http://vegoresto.fr/resto/ah-la-belle-histoire
,vegetarian,02 99 79 08 36,"5 rue Motte Fablet<br />
35000 Rennes",Al Saj,48.1140527,-1.67948999999999,http://vegoresto.fr/resto/al-saj
,vegan,06 63 96 93 53,83400 Hyeres,Ammendola,43.107465,6.13149279999993,http://vegoresto.fr/resto/ammendola
www.arbol-restaurant.com/,,06 33 51 85 52,"4, rue de la Merci<br />
33000 Bordeaux",Arbol,44.8388748,-0.573406400000067,http://vegoresto.fr/resto/arbol
www.artsthesmiss.sitew.com/#Accueil.A,"vegetarian, vegan, gluten-free",06 63 42 85 24,"19 rue des Révennes<br />
06600 Vieil-Antibes",Arts Thés Miss,43.580418,7.12510199999997,http://vegoresto.fr/resto/arts-thes-miss
www.aubonmarche-orleans.com/,"vegetarian, vegan",02 38 53 04 35,"12 place du Châtelet<br />
45000 Orléans",Au bon marché,47.8991595,1.90666510000005,http://vegoresto.fr/resto/au-bon-marche
,"vegetarian, vegan",03 88 35 49 86,"24 rue Sainte-Madeleine<br />
67000 Strasbourg",Au Potiron,48.5789394,7.75480049999999,http://vegoresto.fr/resto/au-potiron
www.aubergeduvernolon.fr/,,04 77 51 50 07,"Le Vernolon<br />
42220 Colombier",Auberge du Vernolon,45.360295,4.59416599999997,http://vegoresto.fr/resto/auberge-du-vernolon
,"vegetarian, vegan, gluten-free",03 21 05 36 21,"20 rue saint jean <br />
62520 Le Touquet",Aux Mignardises Saint-Jean,50.5242281,1.58359629999995,http://vegoresto.fr/resto/aux-mignardises-saint-jean
basilic-instant.e-monsite.com/,"vegetarian, vegan, gluten-free",03 81 83 17 78,"93 rue des Granges<br />
25000 Besançon",Basilic Instant,47.2369769,6.0286188,http://vegoresto.fr/resto/basilic-instant
www.batbat.fr/,"vegetarian, vegan",05 61 42 24 22,"Allée Olympe de Gouges<br />
31770 Colomiers",BATbat (Colomiers),43.5948781,1.35333430000003,http://vegoresto.fr/resto/batbat-colomiers
www.batbat.fr/,"vegetarian, vegan",05 61 25 49 49,"8 rue des Filatiers<br />
31000 Toulouse",BATbat (Toulouse),43.5981845,1.44427819999999,http://vegoresto.fr/resto/batbat-toulouse
,"vegetarian, vegan, gluten-free",03 81 50 83 45,"79 rue des Granges<br />
25000 Besançon",Bêtises et Volup’thé,47.2371425,6.02757410000004,http://vegoresto.fr/resto/betises-volupthe
,"vegan, gluten-free",03 69 07 36 31,"36 rue de l&#039;Arsenal<br />
68100  Mulhouse",Biofresh,47.7468644,7.33362899999997,http://vegoresto.fr/resto/biofresh
http://www.bis2fly.com/,gluten-free,09 72 45 09 95,"19 rue Nicolas Leblanc<br />
59000 Lille",Bis2Fly,50.6296016,3.06179980000002,http://vegoresto.fr/resto/bis2fly
www.bistrotetchocolat.net/,"vegetarian, vegan, gluten-free",03 88 36 39 60,"8 rue de la Râpe<br />
67000 Strasbourg",Bistrot et Chocolat,48.5815328,7.75296159999994,http://vegoresto.fr/resto/bistrot-et-chocolat
http://www.boq-restaurant.fr/,gluten-free,02 99 54 95 91,"5, Place de Bretagne<br />
35000 Rennes",BOQ,48.1094967,-1.683626,http://vegoresto.fr/resto/boq
